file,mean_rt,std_rt,median_rt,min_rt,max_rt,accuracy
A00051826_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,21.818181818181817
A00051826_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,18.333333333333332
A00051826_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,23.684210526315788
A00051886_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,20.0
A00051886_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,40.74074074074074
A00051886_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,61.53846153846154
A00051955_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00051955_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,33.33333333333333
A00051955_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,28.000000000000004
A00053398_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,42.30769230769231
A00053398_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,68.0
A00053398_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,56.00000000000001
A00053440_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,51.85185185185185
A00053440_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,37.03703703703704
A00053440_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,64.0
A00053460_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,48.0
A00053460_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,80.0
A00053460_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,60.0
A00053480_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00053480_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,56.00000000000001
A00053480_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,48.0
A00053597_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,72.0
A00053597_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,40.0
A00053597_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,84.0
A00053909_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,48.0
A00053909_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,44.0
A00053909_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,56.00000000000001
A00053990_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,46.15384615384615
A00053990_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,62.96296296296296
A00053990_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,40.0
A00054023_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,64.0
A00054023_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,53.84615384615385
A00054023_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,30.76923076923077
A00054039_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,38.46153846153847
A00054039_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,50.0
A00054039_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,28.000000000000004
A00054207_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00054207_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,56.00000000000001
A00054207_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,28.000000000000004
A00054215_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,48.148148148148145
A00054215_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,57.692307692307686
A00054215_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,32.0
A00054239_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00054239_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,48.0
A00054239_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,32.0
A00054287_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,58.620689655172406
A00054287_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,48.0
A00054287_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,50.0
A00054359_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,30.555555555555557
A00054359_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,72.0
A00054359_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,28.000000000000004
A00054369_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,44.0
A00054369_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,37.03703703703704
A00054369_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,24.0
A00054387_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,41.37931034482759
A00054387_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,53.84615384615385
A00054387_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,38.46153846153847
A00054400_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,88.0
A00054400_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,68.0
A00054400_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,68.0
A00054417_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,56.00000000000001
A00054417_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,51.85185185185185
A00054417_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,56.00000000000001
A00054469_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,25.925925925925924
A00054469_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,51.85185185185185
A00054469_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,37.03703703703704
A00054488_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,40.0
A00054488_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,44.0
A00054488_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,44.0
A00054517_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,50.0
A00054517_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,26.923076923076923
A00054517_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,48.275862068965516
A00054535_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,68.0
A00054535_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,52.0
A00054535_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,80.0
A00054597_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00054597_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,68.0
A00054597_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,68.0
A00054623_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,40.74074074074074
A00054623_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,56.00000000000001
A00054623_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,28.000000000000004
A00054647_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00054647_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,42.30769230769231
A00054647_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,56.00000000000001
A00054659_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,30.555555555555557
A00054659_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,35.714285714285715
A00054659_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,34.61538461538461
A00054666_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,46.15384615384615
A00054666_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,39.39393939393939
A00054666_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,28.57142857142857
A00054673_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,48.148148148148145
A00054673_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,25.806451612903224
A00054673_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,60.0
A00054694_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,25.925925925925924
A00054694_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,41.37931034482759
A00054694_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,36.666666666666664
A00054721_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,42.30769230769231
A00054721_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,42.30769230769231
A00054721_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,24.0
A00054743_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00054743_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,52.0
A00054743_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,32.0
A00054753_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,36.0
A00054753_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,52.0
A00054753_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,80.0
A00054766_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00054766_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,44.44444444444444
A00054766_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,19.565217391304348
A00054817_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,37.03703703703704
A00054817_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,37.03703703703704
A00054817_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,52.0
A00054852_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,80.0
A00054852_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,52.0
A00054852_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,50.0
A00054866_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,38.46153846153847
A00054866_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,68.0
A00054866_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,37.03703703703704
A00054894_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00054894_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,34.61538461538461
A00054894_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,28.000000000000004
A00054907_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,25.53191489361702
A00054907_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,52.0
A00054907_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,48.0
A00054917_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,40.625
A00054917_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,35.483870967741936
A00054917_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,23.52941176470588
A00054923_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,67.85714285714286
A00054923_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,40.0
A00054923_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,52.0
A00054930_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,64.0
A00054930_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,68.0
A00054930_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,28.000000000000004
A00055024_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,44.44444444444444
A00055024_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,68.0
A00055024_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,38.46153846153847
A00055038_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,27.27272727272727
A00055038_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,35.294117647058826
A00055038_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,33.33333333333333
A00055055_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,56.00000000000001
A00055055_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,46.15384615384615
A00055055_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,32.0
A00055077_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,52.0
A00055077_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,52.0
A00055077_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,34.61538461538461
A00055085_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,37.03703703703704
A00055085_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,56.00000000000001
A00055085_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,57.692307692307686
A00055103_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,50.0
A00055103_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,50.0
A00055296_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,40.625
A00055296_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,33.33333333333333
A00055392_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,37.03703703703704
A00055392_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,56.00000000000001
A00055392_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,72.0
A00055424_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,44.44444444444444
A00055424_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,37.03703703703704
A00055424_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,24.0
